title,url
ДТП в Костомукше,https://www.youtube.com/watch?v=ri0wwcjF0XA
Сбил женщину на пешеходном переходе,https://www.youtube.com/watch?v=9EBC30h8JqA
Автобус занесло,https://www.youtube.com/watch?v=SmXgGZfwnNA
Столкнулись при повороте,https://www.youtube.com/watch?v=HX7I_iOppZs
Торопыга,https://www.youtube.com/watch?v=qGkNQ8aFbBg
Не уступил дорогу,https://www.youtube.com/watch?v=DbI2wQhuwM4
Потеряшка,https://www.youtube.com/watch?v=qrbu02D2wQY
Занесло в сугроб,https://www.youtube.com/watch?v=T7MCxNxRgjg
"Мололец, выручил!",https://www.youtube.com/watch?v=bQ8rA5fsu7o
ДТП на перекрестке,https://www.youtube.com/watch?v=YDjSZeubi5U
Не вписались в поворот,https://www.youtube.com/watch?v=iIQTZTvJwdA
Pro Работу СИТИЛИНК,https://www.youtube.com/watch?v=e_nzbXl8q1E
Думал проскочить,https://www.youtube.com/watch?v=q-FGFZ0KK7c
Поспешил выехать,https://www.youtube.com/watch?v=Vfb_UfjePKk
Не надо так спешить,https://www.youtube.com/watch?v=iHuR9UBsVdc
Погоня с жестким столкновением,https://www.youtube.com/watch?v=1w_VbA4CJYM
Мог бы и пропустить,https://www.youtube.com/watch?v=wZqZ8LGx28o
К чему приводит невнимательность,https://www.youtube.com/watch?v=nVZYf32vzcA
Первый снегопад,https://www.youtube.com/watch?v=Gd-COoQ6YDI
Машины всмятку,https://www.youtube.com/watch?v=iPWdFEgPH8k
Столкнулись на пустом перекрестке,https://www.youtube.com/watch?v=KJtlEzlUX9U
Попытка протиснуться,https://www.youtube.com/watch?v=L1a5Yk4kWcY
Решил пропустить,https://www.youtube.com/watch?v=je20xR5yau8
Провокатор скрылся,https://www.youtube.com/watch?v=gi8hQk7VtzM
Это что за маневр?,https://www.youtube.com/watch?v=6ewVrTDFFpA
Развернуло в обратную сторону,https://www.youtube.com/watch?v=-7yBoTrq7VY
Сам себя наказал!,https://www.youtube.com/watch?v=JFno93F23RM
Растерялся?,https://www.youtube.com/watch?v=QY_B9oM1LaA
Прямо в столб,https://www.youtube.com/watch?v=8UNGs-lFadw
Подрезал мотоциклиста,https://www.youtube.com/watch?v=N64v2YfHQOo
Ехал бы уже дальше,https://www.youtube.com/watch?v=H4ypVB10kKQ
ДТП на перекрестке в Кондопоге,https://www.youtube.com/watch?v=VT0OIiC86FE
Оборвал провода и поехал дальше,https://www.youtube.com/watch?v=wuWr8n37gqs
ДТП на перекрестке,https://www.youtube.com/watch?v=JhYkqEtQJvk
Летит на красный,https://www.youtube.com/watch?v=RTy3EcsgXww
Не ленитесь дойти до пешеходного перехода,https://www.youtube.com/watch?v=4khefhmdDzI
Соблюдай дистанцию,https://www.youtube.com/watch?v=9KE6fJa--CE
Спровоцировал аварию,https://www.youtube.com/watch?v=-AxW7pHQVfI
Успею проскочить,https://www.youtube.com/watch?v=IZZBnhIKzbQ
Своими силами уже не потушить,https://www.youtube.com/watch?v=VIF_yD3nx_8
Неожиданный поворот,https://www.youtube.com/watch?v=cV_IyiZGBAY
Поторопился с парковкой,https://www.youtube.com/watch?v=mfbnYbnqofY
Поздно пятиться,https://www.youtube.com/watch?v=y_E-rEbcj3Q
Смена сигналов сфетофора?,https://www.youtube.com/watch?v=n6_3Pl8R5NY
Сбил велосипедиста,https://www.youtube.com/watch?v=tFehj6Yx3yw
Нападение собаки,https://www.youtube.com/watch?v=BHXJPyHe6-o
Пошли разбирать ситуацию,https://www.youtube.com/watch?v=mRUVtGADIkQ
Лоб в лоб,https://www.youtube.com/watch?v=viNwM7ZIGSk
Как же так можно ездить?,https://www.youtube.com/watch?v=ueVcjpVZvx4
Вандалы в подземке,https://www.youtube.com/watch?v=bkNdx0enYR4
Выкрутасы,https://www.youtube.com/watch?v=EFkUfx0ycao
Пешеход погиб,https://www.youtube.com/watch?v=u4oXeoJypRI
Пешеход легко отделался,https://www.youtube.com/watch?v=cfaamSgMHKo
Публичный Wi Fi  Додо пицца,https://www.youtube.com/watch?v=6mdUMJ8j6PE
Затянуло под колесо,https://www.youtube.com/watch?v=AGlkD1ekN9w
Не поделили дорогу,https://www.youtube.com/watch?v=X0ZedCQZaRo
ДТП на перекрестке,https://www.youtube.com/watch?v=8d8mnJtSFhU
В погоне за кабанчиками,https://www.youtube.com/watch?v=5JhBjnSIt58
Жесткое падение,https://www.youtube.com/watch?v=G0DLtJviOrk
ДТП на перекрестке,https://www.youtube.com/watch?v=vuv2_SIK-v8
Жесткое столкновение с пожарной машиной,https://www.youtube.com/watch?v=bsD5AJDOUlI
Отлично перестроился,https://www.youtube.com/watch?v=8WBhFumtvtU
Почему именно сейчас?,https://www.youtube.com/watch?v=xWRZi_oLl-I
Велосипедист налетел на пешехода,https://www.youtube.com/watch?v=ezaz4JykruI
Нежданчик,https://www.youtube.com/watch?v=2rp1XW7CFuU
Торопыга,https://www.youtube.com/watch?v=gweVJvWwzCc
Внимание! Велосезон открыт.,https://www.youtube.com/watch?v=lJ_8fYd_2Lo
Спровоцировал аварию,https://www.youtube.com/watch?v=O9n4Jfj-dZY
Покатались!,https://www.youtube.com/watch?v=j9Qu8NjBO0M
Ничего не предвещало,https://www.youtube.com/watch?v=24ntoscdAvs
